country,year,uniqueid,bank_account,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
2,2018,8111,0,2,0,4,65,0,1,0,1,1
2,2018,8222,0,1,1,7,18,0,2,1,2,3
2,2018,8333,0,2,1,3,34,0,0,1,4,1
2,2018,8439,0,1,1,4,46,1,0,0,2,2
2,2018,8537,1,2,1,1,54,1,0,1,0,1
2,2018,8602,0,2,1,4,27,0,0,0,0,1
2,2018,8613,0,1,1,4,21,0,2,1,0,1
2,2018,8625,0,1,0,4,64,1,0,0,1,2
2,2018,8636,0,1,1,3,56,0,1,0,0,3
2,2018,8647,0,1,0,6,40,1,0,3,0,2
2,2018,8658,1,2,1,10,21,0,3,1,3,3
2,2018,8669,0,1,1,9,18,1,4,1,2,3
2,2018,8680,1,1,1,1,42,1,0,3,2,2
2,2018,8691,0,1,0,2,22,1,2,1,0,3
2,2018,8702,0,1,1,8,52,0,1,0,0,1
2,2018,8713,0,2,1,6,35,0,1,0,0,1
2,2018,8724,0,1,1,2,64,0,0,2,0,3
2,2018,2,1,2,1,5,42,1,0,0,2,2
2,2018,13,0,2,1,10,23,0,4,3,0,5
2,2018,24,0,1,1,1,42,1,0,0,4,1
2,2018,35,0,2,1,2,27,1,0,0,2,7
2,2018,46,0,1,1,2,43,1,0,0,0,1
2,2018,57,1,2,0,4,16,0,4,1,2,3
2,2018,68,1,2,1,4,26,1,4,1,2,1
2,2018,79,0,1,0,4,19,0,1,0,0,1
2,2018,90,1,1,1,6,49,1,0,0,3,7
2,2018,101,0,2,1,9,44,0,0,0,1,0
2,2018,113,0,2,1,1,30,0,0,1,0,0
2,2018,124,0,1,0,3,16,0,2,1,0,3
2,2018,135,0,2,1,7,50,0,1,0,4,2
2,2018,146,0,1,1,2,30,1,0,0,0,5
2,2018,157,0,2,1,5,49,0,1,0,0,0
2,2018,168,0,1,0,8,72,0,3,2,1,3
2,2018,179,0,1,1,4,18,1,2,1,2,3
2,2018,190,0,1,1,2,21,0,0,0,0,3
2,2018,201,0,1,1,9,52,1,0,0,1,2
2,2018,212,1,1,1,4,55,1,2,0,2,2
2,2018,224,0,1,1,5,35,0,0,0,0,3
2,2018,235,0,1,1,6,38,0,1,0,0,2
2,2018,246,0,1,1,6,19,0,2,1,2,3
2,2018,257,1,2,1,7,53,0,0,0,3,0
2,2018,268,0,2,0,2,17,1,2,1,2,3
2,2018,279,0,2,1,5,29,0,0,0,0,1
2,2018,290,1,1,1,1,24,0,0,1,3,5
2,2018,301,0,2,1,7,63,1,1,0,4,2
2,2018,312,0,2,1,2,47,0,0,0,2,3
2,2018,323,1,2,1,4,42,0,0,0,3,7
2,2018,335,0,1,0,3,17,1,2,1,2,1
2,2018,346,1,1,1,4,28,1,0,0,0,1
2,2018,357,0,2,1,7,62,1,0,2,0,1
2,2018,368,0,1,1,2,52,0,0,2,0,1
2,2018,379,0,1,1,3,44,0,0,3,0,1
2,2018,390,0,2,1,6,28,0,0,0,1,0
2,2018,401,1,2,1,4,30,0,1,0,2,0
2,2018,412,1,2,1,4,39,1,0,0,0,1
2,2018,423,0,2,1,4,81,1,0,0,1,3
2,2018,434,1,1,1,1,62,0,0,2,0,2
2,2018,446,0,2,1,3,78,1,0,0,0,0
2,2018,457,0,2,1,2,28,0,0,1,0,0
2,2018,468,0,2,1,4,28,1,0,0,0,7
2,2018,479,0,1,1,5,39,0,0,2,0,2
2,2018,490,0,1,1,8,42,0,1,0,1,2
2,2018,501,0,1,0,6,17,1,2,1,0,3
2,2018,512,0,1,1,6,50,1,0,0,2,2
2,2018,523,0,1,1,4,25,0,1,0,0,0
2,2018,534,1,2,1,6,34,1,0,0,0,1
2,2018,545,0,1,1,5,33,0,1,0,0,2
2,2018,557,1,2,1,3,26,0,1,0,2,0
2,2018,568,0,1,0,8,36,0,1,0,1,2
2,2018,579,0,1,1,4,78,0,0,2,1,2
2,2018,590,1,1,1,5,36,0,1,0,4,7
2,2018,601,0,2,0,7,17,0,2,1,2,3
2,2018,612,0,2,1,1,20,1,0,1,3,3
2,2018,623,0,1,1,1,30,1,0,3,2,2
2,2018,634,0,1,1,1,38,1,0,0,0,1
2,2018,645,0,1,1,8,28,0,1,0,0,2
2,2018,656,0,1,0,4,50,1,0,0,0,1
2,2018,668,1,2,1,7,40,1,0,0,0,5
2,2018,679,0,2,1,1,62,1,0,0,0,1
2,2018,690,0,1,1,4,40,0,0,0,0,2
2,2018,701,0,1,1,7,44,1,0,0,0,0
2,2018,712,0,1,1,4,25,0,1,0,0,0
2,2018,723,0,1,1,5,59,0,0,2,0,2
2,2018,734,1,2,1,6,36,0,1,0,2,0
2,2018,745,0,1,1,7,60,1,0,0,1,2
2,2018,756,1,1,1,3,42,1,0,0,1,5
2,2018,767,0,1,1,2,56,0,0,0,1,0
2,2018,779,0,2,0,4,37,0,1,0,0,3
2,2018,790,0,1,1,4,28,0,1,0,2,3
2,2018,801,0,1,0,9,50,0,2,1,0,2
2,2018,812,0,2,1,2,55,1,0,0,2,5
2,2018,823,0,1,1,7,65,0,0,2,0,2
2,2018,834,0,1,1,5,48,1,0,0,0,2
2,2018,845,0,2,1,2,65,0,0,2,0,3
2,2018,856,0,1,1,7,55,0,0,2,0,1
2,2018,867,0,1,1,5,31,0,1,0,2,2
2,2018,878,0,1,0,2,55,0,0,2,1,3
2,2018,890,0,2,1,6,44,1,0,0,0,1
2,2018,901,0,1,1,3,72,1,0,0,0,2
2,2018,912,0,2,0,3,18,0,2,1,2,1
2,2018,923,0,1,1,4,26,1,2,1,2,3
2,2018,934,0,1,1,1,53,1,0,3,0,1
2,2018,945,0,1,1,3,28,1,0,0,0,1
2,2018,956,0,2,1,8,34,0,0,0,3,1
2,2018,967,0,1,1,4,55,1,0,0,1,2
2,2018,978,0,2,1,2,48,1,0,0,4,1
2,2018,989,0,1,1,2,50,0,1,0,0,1
2,2018,1001,1,1,1,7,65,0,0,2,2,2
2,2018,1012,1,2,1,3,53,0,0,2,2,2
2,2018,1023,0,1,1,5,45,0,0,0,1,2
2,2018,1034,0,2,1,2,29,0,0,1,0,1
2,2018,1045,1,2,1,3,36,1,0,0,4,5
2,2018,1056,0,1,0,9,18,0,2,1,2,3
2,2018,1067,0,1,0,5,18,0,2,1,2,3
2,2018,1078,1,2,1,7,33,0,0,0,0,0
2,2018,1089,0,2,1,4,25,0,1,0,0,3
2,2018,1100,1,2,1,2,30,0,0,1,4,7
2,2018,1113,1,2,1,5,48,0,1,0,2,2
2,2018,1124,1,1,1,2,80,0,0,2,1,2
2,2018,1135,0,2,1,6,42,1,0,1,0,2
2,2018,1146,0,1,1,5,69,0,0,0,1,0
2,2018,1157,0,2,1,3,23,0,1,0,2,0
2,2018,1168,0,1,1,2,67,0,0,2,0,1
2,2018,1179,0,1,1,2,58,0,1,0,0,2
2,2018,1190,0,1,1,6,27,1,2,1,2,2
2,2018,1201,1,1,1,1,42,1,0,1,0,2
2,2018,1212,0,1,0,5,80,0,0,2,1,8
2,2018,1224,0,1,0,3,95,0,3,2,1,1
2,2018,1235,0,1,1,4,26,0,4,1,2,1
2,2018,1246,0,2,1,3,38,0,1,0,4,3
2,2018,1257,0,2,1,1,64,1,0,0,2,1
2,2018,1268,0,2,1,6,16,1,4,1,2,3
2,2018,1279,0,2,0,4,49,1,0,0,2,2
2,2018,1290,0,1,0,5,33,0,0,2,1,0
2,2018,1301,0,2,1,4,35,0,0,3,2,0
2,2018,1312,1,2,1,1,28,1,0,0,3,5
2,2018,1323,0,2,1,4,38,1,0,0,2,5
2,2018,1335,0,1,1,3,29,1,0,0,1,0
2,2018,1346,0,1,1,5,26,1,0,0,0,1
2,2018,1357,0,1,0,1,17,1,0,1,2,3
2,2018,1368,0,1,1,4,36,1,0,0,0,1
2,2018,1379,1,2,1,3,28,0,1,0,2,0
2,2018,1390,0,2,0,5,22,0,3,1,2,9
2,2018,1401,0,2,1,1,65,0,0,1,0,3
2,2018,1412,0,2,0,1,54,1,0,1,0,2
2,2018,1423,1,1,1,4,66,1,0,0,2,2
2,2018,1434,0,2,1,3,54,0,1,0,0,1
2,2018,1446,0,1,0,3,70,1,0,0,1,2
2,2018,1457,0,1,1,5,44,1,0,0,2,1
2,2018,1468,0,2,1,7,22,1,2,1,2,1
2,2018,1479,1,1,1,3,53,1,0,0,3,2
2,2018,1490,0,1,1,7,28,1,2,0,0,1
2,2018,1501,0,1,1,8,42,0,0,0,0,2
2,2018,1512,0,1,1,5,24,0,1,0,0,2
2,2018,1523,1,2,1,3,40,1,0,0,4,5
2,2018,1534,0,1,1,4,33,1,0,0,2,0
2,2018,1545,0,1,1,2,60,1,0,0,0,2
2,2018,1557,0,1,1,2,40,0,4,3,0,5
2,2018,1568,0,1,0,3,17,0,4,1,2,3
2,2018,1579,0,1,1,7,30,0,0,3,0,0
2,2018,1590,0,2,0,2,16,1,4,1,2,3
2,2018,1601,0,1,0,4,19,1,2,1,1,2
2,2018,1612,1,1,1,1,54,0,0,2,2,0
2,2018,1623,1,1,1,1,33,1,0,1,3,2
2,2018,1634,0,2,1,3,29,0,1,0,2,3
2,2018,1645,0,1,0,6,71,1,0,0,0,2
2,2018,1656,0,2,1,9,26,1,0,0,0,1
2,2018,1668,0,1,0,4,23,0,1,0,0,2
2,2018,1679,1,2,1,1,27,1,0,1,3,1
2,2018,1690,0,1,1,9,23,1,4,1,0,1
2,2018,1701,1,2,1,6,47,1,0,0,2,2
2,2018,1712,0,1,0,7,40,0,0,0,1,2
2,2018,1723,0,2,0,4,17,0,4,1,2,3
2,2018,1734,0,1,1,5,42,0,1,0,0,2
2,2018,1745,0,1,1,2,54,0,0,2,0,2
2,2018,1756,0,1,1,2,33,1,0,0,0,3
2,2018,1767,0,1,1,2,52,0,0,0,0,1
2,2018,1779,0,1,1,4,57,0,0,2,1,2
2,2018,1790,0,1,1,4,42,0,1,0,0,0
2,2018,1801,0,1,1,1,24,0,0,1,0,5
2,2018,1812,0,1,1,5,32,0,0,0,0,1
2,2018,1823,0,1,1,4,55,0,0,2,0,2
2,2018,1834,0,1,0,6,66,1,0,0,0,2
2,2018,1845,0,2,1,5,49,1,0,0,0,0
2,2018,1856,0,1,1,3,25,1,2,1,2,1
2,2018,1867,0,1,1,5,34,0,1,0,2,2
2,2018,1878,0,2,1,1,85,0,0,2,0,3
2,2018,1890,0,1,1,3,31,1,2,1,2,1
2,2018,1901,0,1,1,7,32,0,0,0,1,2
2,2018,1912,0,1,0,3,65,0,1,0,1,2
2,2018,1923,0,2,1,5,30,0,1,0,0,3
2,2018,1934,0,1,1,3,46,1,1,0,2,0
2,2018,1945,0,2,1,1,29,1,0,1,2,1
2,2018,1956,1,2,1,3,33,0,0,0,2,3
2,2018,1967,1,2,1,2,29,0,1,0,3,0
2,2018,1978,0,1,1,7,28,0,1,0,0,1
2,2018,1989,1,2,1,2,30,1,0,0,3,0
2,2018,2001,0,1,1,5,43,0,1,0,1,1
2,2018,2012,0,1,1,5,21,0,1,0,0,1
2,2018,2023,0,1,0,6,16,1,2,1,0,4
2,2018,2034,0,1,1,5,56,0,0,0,1,1
2,2018,2045,1,2,1,3,44,0,1,0,2,3
2,2018,2056,0,1,1,2,57,1,0,0,0,0
2,2018,2067,0,1,1,6,38,0,0,0,0,1
2,2018,2078,0,2,1,1,30,0,0,0,0,3
2,2018,2089,0,1,1,7,46,0,0,1,1,2
2,2018,2100,0,1,1,4,29,0,0,0,0,0
2,2018,2112,0,2,1,6,24,1,2,1,3,3
2,2018,2123,0,2,1,3,32,1,2,1,0,1
2,2018,2134,0,1,1,1,57,1,0,3,0,1
2,2018,2145,0,2,1,3,69,1,0,0,0,5
2,2018,2156,0,1,0,2,80,0,0,2,1,2
2,2018,2167,0,2,1,5,31,0,1,0,0,3
2,2018,2178,0,1,1,7,35,0,1,0,1,2
2,2018,2189,0,2,1,5,52,0,1,0,1,1
2,2018,2200,0,2,1,2,26,0,1,0,4,2
2,2018,2211,0,2,1,3,35,1,0,0,2,2
2,2018,2224,1,1,1,4,42,0,1,0,2,7
2,2018,2235,0,1,1,4,68,1,0,0,0,2
2,2018,2246,0,1,0,6,55,0,1,0,0,2
2,2018,2257,0,1,1,7,35,0,1,0,0,3
2,2018,2268,0,2,1,6,27,0,1,0,0,0
2,2018,2279,1,1,1,1,25,1,0,0,0,2
2,2018,2290,0,1,1,6,56,0,1,1,0,2
2,2018,2301,0,1,0,7,30,0,1,0,0,1
2,2018,2312,1,2,1,2,23,1,4,1,3,1
2,2018,2323,1,2,1,4,40,1,0,0,3,5
2,2018,2335,1,2,1,5,32,1,0,0,2,5
2,2018,2346,1,1,1,4,45,1,0,0,4,7
2,2018,2357,0,1,0,7,16,0,2,1,0,3
2,2018,2368,0,1,1,6,47,1,0,2,0,1
2,2018,2379,1,2,1,4,63,1,0,0,2,0
2,2018,2390,0,2,1,6,47,1,0,1,0,0
2,2018,2401,1,2,1,1,24,0,0,0,2,7
2,2018,2412,1,1,1,1,45,1,0,3,2,2
2,2018,2423,0,1,1,6,41,0,1,0,1,2
2,2018,2434,1,2,1,4,22,0,0,0,1,3
2,2018,2446,0,1,1,6,49,1,0,0,0,1
2,2018,2457,1,1,0,9,42,1,0,0,1,2
2,2018,2468,0,2,1,2,28,0,0,1,0,0
2,2018,2479,0,1,1,4,19,0,2,1,0,3
2,2018,2490,0,1,1,2,57,1,0,0,2,2
2,2018,2501,0,1,1,2,68,1,0,0,0,1
2,2018,2512,0,2,0,7,70,0,0,2,1,4
2,2018,2523,0,1,0,2,63,0,0,2,1,2
2,2018,2534,1,1,1,3,24,1,0,0,0,0
2,2018,2545,0,2,0,5,48,0,1,0,0,2
2,2018,2557,0,1,1,9,43,1,0,0,1,2
2,2018,2568,0,1,0,6,31,0,0,0,1,2
2,2018,2579,1,2,1,3,48,1,0,0,4,7
2,2018,2590,0,2,0,6,58,1,0,0,1,3
2,2018,2601,0,2,1,5,44,0,1,0,4,3
2,2018,2612,0,2,1,2,25,1,0,0,0,5
2,2018,2623,0,1,1,8,61,1,0,0,1,2
2,2018,2634,0,1,1,6,50,0,0,2,1,2
2,2018,2645,0,1,0,4,52,0,0,0,1,1
2,2018,2656,0,1,0,1,72,1,0,2,0,2
2,2018,2668,1,1,1,4,31,1,0,0,1,2
2,2018,2679,0,1,0,2,95,1,0,0,0,2
2,2018,2690,0,1,0,2,75,0,0,2,1,3
2,2018,2701,1,2,1,3,31,1,0,0,4,7
2,2018,2712,0,2,1,1,23,1,0,3,0,1
2,2018,2723,0,1,1,2,72,1,0,0,1,3
2,2018,2734,1,2,1,3,46,1,0,2,3,7
2,2018,2745,0,1,1,6,34,1,0,0,2,1
2,2018,2756,0,1,1,6,27,0,1,0,2,2
2,2018,2767,0,2,1,12,23,0,2,1,2,0
2,2018,2779,0,1,1,2,31,0,1,0,0,2
2,2018,2790,1,2,1,1,27,0,0,1,2,0
2,2018,2801,0,1,1,4,24,0,0,0,0,2
2,2018,2812,1,2,1,7,45,1,0,0,2,7
2,2018,2823,1,2,1,1,29,0,0,1,3,5
2,2018,2834,0,2,1,4,18,0,2,1,2,3
2,2018,2845,0,1,0,7,67,0,0,2,1,2
2,2018,2856,0,1,0,3,71,1,0,0,2,1
2,2018,2867,1,2,1,1,44,1,0,3,2,7
2,2018,2878,1,1,1,3,23,1,2,3,3,2
2,2018,2890,0,1,1,8,55,0,0,0,2,3
2,2018,2901,0,1,0,6,20,0,2,1,4,3
2,2018,2912,0,2,1,9,37,0,0,0,2,1
2,2018,2923,0,2,1,3,26,0,0,0,0,5
2,2018,2934,0,1,1,2,17,0,2,1,2,3
2,2018,2945,0,1,0,7,18,0,4,1,2,3
2,2018,2956,0,1,0,1,72,0,0,2,1,2
2,2018,2967,0,1,0,1,86,0,0,2,0,3
2,2018,2978,0,1,0,6,22,1,2,1,2,1
2,2018,2989,0,1,1,3,28,0,0,0,4,5
2,2018,3001,0,1,1,4,71,0,1,0,0,2
2,2018,3012,0,1,1,3,95,1,0,0,0,4
2,2018,3023,0,1,0,3,68,1,0,0,1,2
2,2018,3034,0,2,1,16,33,0,1,0,1,3
2,2018,3045,0,1,0,6,23,0,2,1,2,3
2,2018,3056,0,1,1,1,72,0,0,2,2,3
2,2018,3067,1,2,1,1,23,1,0,1,4,3
2,2018,3078,1,1,1,2,43,0,1,0,3,2
2,2018,3089,0,1,0,4,50,0,0,2,0,1
2,2018,3100,0,2,1,3,23,0,2,1,3,3
2,2018,3112,0,1,1,6,31,0,1,0,0,0
2,2018,3123,1,1,1,10,17,0,1,1,2,2
2,2018,3134,0,1,1,1,42,1,0,1,2,2
2,2018,3145,0,2,1,5,24,0,1,0,0,2
2,2018,3156,1,2,1,6,37,1,0,0,2,0
2,2018,3167,0,1,1,1,57,1,0,1,0,0
2,2018,3178,0,2,0,2,17,1,2,1,0,3
2,2018,3189,0,1,1,2,52,1,0,0,0,1
2,2018,3200,0,1,0,2,20,0,1,0,0,3
2,2018,3211,0,2,1,5,25,0,2,3,0,0
2,2018,3223,0,1,1,3,52,0,1,0,0,2
2,2018,3234,0,2,0,7,18,0,2,1,2,3
2,2018,3245,0,1,1,5,23,0,4,1,2,3
2,2018,3256,1,2,1,4,26,0,0,0,4,3
2,2018,3267,0,1,0,1,48,1,0,0,0,1
2,2018,3278,0,2,0,1,75,0,0,2,1,3
2,2018,3289,0,1,1,7,37,1,0,0,1,2
2,2018,3300,0,1,0,4,25,0,1,0,0,1
2,2018,3311,1,2,1,1,21,1,0,1,2,5
2,2018,3322,0,1,0,2,16,1,2,1,0,3
2,2018,3335,1,2,1,1,25,0,0,1,4,4
2,2018,3346,1,2,1,1,29,1,0,0,3,0
2,2018,3357,0,2,0,9,18,0,2,1,2,3
2,2018,3368,0,1,1,3,40,0,1,0,1,2
2,2018,3379,0,2,1,1,21,1,0,1,2,5
2,2018,3390,0,2,0,3,19,1,2,1,2,3
2,2018,3401,0,1,0,2,35,0,1,0,0,2
2,2018,3412,1,2,1,5,30,1,0,0,0,7
2,2018,3423,0,2,1,5,73,1,0,0,0,4
2,2018,3434,0,1,1,7,71,1,0,0,1,1
2,2018,3446,0,1,1,3,41,1,0,0,0,2
2,2018,3457,0,1,1,4,29,1,2,1,2,1
2,2018,3468,0,2,1,3,22,0,5,1,3,3
2,2018,3479,0,2,1,3,40,1,0,0,0,0
2,2018,3490,0,2,1,1,20,1,0,1,2,1
2,2018,3501,0,2,1,2,75,0,0,0,0,2
2,2018,3512,1,1,1,4,60,0,1,0,0,1
2,2018,3523,1,2,1,1,20,1,0,1,2,0
2,2018,3534,0,1,1,2,38,1,4,3,0,1
2,2018,3545,1,2,1,1,26,0,0,0,4,1
2,2018,3557,0,2,1,2,29,1,0,0,2,1
2,2018,3568,0,1,1,2,25,0,0,0,2,3
2,2018,3579,0,2,0,4,29,0,1,0,1,3
2,2018,3590,0,1,1,3,66,1,0,0,1,1
2,2018,3601,1,2,1,3,29,1,0,0,2,5
2,2018,3612,0,2,0,7,21,1,2,1,2,3
2,2018,3623,0,1,1,1,65,0,0,2,0,9
2,2018,3634,0,1,0,5,45,1,0,0,0,2
2,2018,3645,0,1,1,1,70,0,0,2,1,3
2,2018,3656,0,2,1,5,37,0,1,0,0,1
2,2018,3668,0,1,1,3,58,1,0,0,0,3
2,2018,3679,1,2,1,2,32,0,1,0,0,1
2,2018,3690,0,2,1,3,63,1,0,0,0,1
2,2018,3701,0,1,0,6,70,0,1,0,1,3
2,2018,3712,1,1,1,7,54,1,0,0,0,2
2,2018,3723,0,1,1,3,30,1,0,2,0,2
2,2018,3734,0,2,0,2,50,0,0,0,0,1
2,2018,3745,0,1,1,2,48,0,0,2,0,2
2,2018,3756,0,1,1,1,28,0,0,0,0,2
2,2018,3767,1,2,1,2,24,1,0,0,0,7
2,2018,3779,0,1,1,10,35,1,1,0,0,2
2,2018,3790,1,2,1,3,25,0,1,0,2,3
2,2018,3801,0,1,0,5,19,1,4,1,2,3
2,2018,3812,0,1,0,8,16,1,2,1,0,3
2,2018,3823,0,1,1,1,50,0,0,2,0,2
2,2018,3834,0,1,0,3,18,0,1,0,0,3
2,2018,3845,0,1,1,4,46,0,0,2,0,2
2,2018,3856,0,1,0,4,25,0,0,0,1,2
2,2018,3867,0,1,0,5,16,1,2,1,2,3
2,2018,3878,1,2,1,3,47,1,0,0,4,7
2,2018,3890,1,2,1,4,70,1,0,0,1,2
2,2018,3901,0,2,1,4,70,1,0,0,4,3
2,2018,3912,0,2,0,4,35,0,1,0,0,1
2,2018,3923,0,2,1,5,40,0,1,0,0,2
2,2018,3934,1,2,1,4,42,1,0,0,0,0
2,2018,3945,1,2,1,1,45,1,0,0,2,7
2,2018,3956,0,1,0,8,17,1,4,1,2,4
2,2018,3967,0,1,1,5,30,1,0,0,1,2
2,2018,3978,0,1,1,4,25,1,2,1,2,3
2,2018,3989,0,1,0,5,44,0,1,0,0,1
2,2018,4001,1,2,1,3,30,1,0,0,0,0
2,2018,4012,0,2,1,1,30,1,0,1,2,5
2,2018,4023,0,1,0,3,20,0,0,0,0,3
2,2018,4034,1,2,1,3,33,0,0,0,4,7
2,2018,4045,0,1,0,2,50,0,0,2,0,2
2,2018,4056,0,2,1,1,20,1,0,1,0,1
2,2018,4067,0,1,1,3,63,0,1,0,1,0
2,2018,4078,0,1,1,5,72,1,0,0,0,2
2,2018,4089,0,2,1,4,28,0,1,0,0,1
2,2018,4100,1,1,0,3,72,1,0,0,0,2
2,2018,4112,0,1,1,5,61,0,1,0,0,1
2,2018,4123,0,2,1,3,22,1,0,1,4,3
2,2018,4134,0,1,0,6,40,1,0,0,0,1
2,2018,4145,0,1,0,1,85,1,0,2,1,8
2,2018,4156,0,1,0,7,49,0,0,2,1,2
2,2018,4167,0,1,1,4,80,1,0,0,0,2
2,2018,4178,1,2,1,6,23,1,2,1,3,3
2,2018,4189,0,2,1,5,31,0,1,0,4,0
2,2018,4200,0,1,1,8,28,0,2,0,1,2
2,2018,4211,0,1,1,3,25,1,0,0,2,4
2,2018,4223,1,2,1,1,38,1,0,0,2,5
2,2018,4234,0,2,0,4,28,0,1,0,0,3
2,2018,4245,1,2,1,3,50,0,1,0,3,7
2,2018,4256,0,2,1,4,34,1,0,0,0,1
2,2018,4267,0,1,0,1,93,0,0,2,1,8
2,2018,4278,1,1,1,3,78,1,0,0,0,2
2,2018,4289,0,1,0,5,30,1,0,0,0,2
2,2018,4300,0,1,0,8,78,1,0,0,1,3
2,2018,4311,0,1,1,6,24,1,2,1,0,1
2,2018,4322,0,1,1,4,70,0,0,2,0,3
2,2018,4334,1,1,1,4,60,1,0,0,2,2
2,2018,4345,0,1,1,2,45,0,1,0,2,2
2,2018,4356,1,1,1,3,70,1,0,0,0,2
2,2018,4367,0,2,1,1,22,0,0,0,2,5
2,2018,4378,0,2,0,5,29,0,1,0,0,3
2,2018,4389,0,1,0,4,39,0,2,1,0,1
2,2018,4400,0,2,0,5,19,1,2,1,2,3
2,2018,4411,1,2,1,9,34,1,0,0,4,7
2,2018,4422,0,1,1,6,34,0,2,1,4,3
